ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
97,679310.1893,4164396.124,25.7,679315.2234,4164396.122,25.9,0,2,1,4.24765265449864e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,679315.2234,4164396.122,25.9,679324.1417,4164396.204,26.2,0,2,1,1.37835998327851e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,679324.1417,4164396.204,26.2,679328.8203,4164396.306,26.4,0,2,1,2.34843555993337e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,679328.8203,4164396.306,26.4,679336.9416,4164396.482,26.5,0,2,1,1.06353329904147e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,679336.9416,4164396.482,26.5,679341.1788,4164396.573,26.6,0,2,1,1.8988552399485e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,679341.1788,4164396.573,26.6,679348.5057,4164396.732,26.5,0,2,1,7.58602607634657e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,679348.5057,4164396.732,26.5,679352.3015,4164396.814,26.4,0,2,1,1.13215910382911e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,679352.3015,4164396.814,26.4,679358.0394,4164396.938,26.3,0,2,1,1.63411120124007e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,679358.0394,4164396.938,26.3,679363.2477,4164397.051,26.2,0,2,1,2.78287705451958e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,679363.2477,4164397.051,26.2,679366.5115,4164397.233,26.1,0,2,1,4.37258974177054e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,679366.5115,4164397.233,26.1,679367.6591,4164397.258,26.1,0,2,1,1.3416381244336e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,679367.6591,4164397.258,26.1,679372.0728,4164397.353,25.8,0,2,1,4.6553767864705e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,679372.0728,4164397.353,25.8,679374.368,4164397.403,25.7,0,2,1,8.05090600224448e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,679374.368,4164397.403,25.7,679380.3683,4164397.644,25.2,0,2,1,4.84571175526275e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,679380.3683,4164397.644,25.2,679383.5439,4164397.824,25,0,2,1,9.19393912262643e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,679383.5439,4164397.824,25,679390.8779,4164397.649,25.3,0,2,1,2.6967114366464e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,679390.8779,4164397.649,25.3,679394.6786,4164397.51,25.5,0,2,1,4.12238456958624e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,679394.6786,4164397.51,25.5,679403.6779,4164397.927,25.4,0,2,1,2.84144409795249e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,679403.6779,4164397.927,25.4,679408.3541,4164398.139,25.3,0,2,1,5.25407168369849e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,679408.3541,4164398.139,25.3,679418.4175,4164398.357,25.1,0,2,1,9.74397988837783e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,679418.4175,4164398.357,25.1,679423.714,4164398.472,25,0,2,1,1.63624529315995e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,679423.714,4164398.472,25,679434.4836,4164398.705,24.8,0,2,1,3.2949709151293e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,679434.4836,4164398.705,24.8,679440.1333,4164398.827,24.7,0,2,1,5.04260306988094e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,679440.1333,4164398.827,24.7,679451.4253,4164399.405,24.4,0,2,1,1.60908168816873e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,679451.4253,4164399.405,24.4,679457.3374,4164399.644,24.2,0,2,1,2.8208186441159e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,679457.3374,4164399.644,24.2,679469.4311,4164399.906,23.9,0,2,1,2.39663431882496e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,679469.4311,4164399.906,23.9,679475.787,4164400.044,23.8,0,2,1,5.45759242768292e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,679475.787,4164400.044,23.8,679489.0307,4164400.22,23.5,0,2,1,2.66449337000757e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,679489.0307,4164400.22,23.5,679495.9186,4164400.258,23.4,0,2,1,3.28072238113462e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,679495.9186,4164400.258,23.4,679509.9568,4164400.451,23.3,0,2,1,8.47584526372954e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,679509.9568,4164400.451,23.3,679524.4436,4164400.321,24.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,679524.4436,4164400.321,24.1,679535.3994,4164400.114,25.4,0,2,1,3.5162194211978e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,679535.3994,4164400.114,25.4,679539.1976,4164400.086,25.9,0,2,1,2.29436282466937e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
