ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
39,624628.6787,4269538.138,20.9,624639.9427,4269542.31,21,0,2,1,2.49750312125453e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,624639.9427,4269542.31,21,624651.5535,4269546.597,20.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,624651.5535,4269546.597,20.9,624663.2514,4269550.886,20.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,624663.2514,4269550.886,20.8,624675.3815,4269555.404,20.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,624675.3815,4269555.404,20.7,624687.7729,4269559.926,20.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,624687.7729,4269559.926,20.6,624692.0178,4269561.546,20.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,624692.0178,4269561.546,20.6,624709.8652,4269568.262,20.5,0,2,1,1.573198886442e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,624709.8652,4269568.262,20.5,624728.2302,4269575.319,20.3,0,2,1,1.52476523387913e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,624728.2302,4269575.319,20.3,624741.9129,4269580.86,20.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,624741.9129,4269580.86,20.1,624756.12,4269586.298,19.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,624756.12,4269586.298,19.7,624770.5902,4269591.63,19.2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,624770.5902,4269591.63,19.2,624784.7136,4269596.845,18.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,624784.7136,4269596.845,18.8,624798.7499,4269602.058,18.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,624798.7499,4269602.058,18.6,624812.7042,4269606.938,18.2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,624812.7042,4269606.938,18.2,624826.7457,4269611.819,17.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,624826.7457,4269611.819,17.7,624840.7017,4269616.587,17.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,624840.7017,4269616.587,17.1,624854.7449,4269621.357,16.5,0,2,1,6.73707124851613e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,624854.7449,4269621.357,16.5,624868.788,4269626.127,16.1,0,2,1,6.7401343331015e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,624868.788,4269626.127,16.1,624882.8294,4269631.008,15.9,0,2,1,6.72636484975216e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,624882.8294,4269631.008,15.9,624896.4334,4269635.993,15.6,0,2,1,6.9004796103828e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,624896.4334,4269635.993,15.6,624909.9502,4269640.977,15.2,0,2,1,6.93869002497655e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,624909.9502,4269640.977,15.2,624923.2075,4269645.846,14.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,624923.2075,4269645.846,14.7,624936.2068,4269650.489,14.2,0,2,1,7.2397842902506e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,624936.2068,4269650.489,14.2,624948.7704,4269655.125,13.8,0,2,1,2.23919238457119e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,624948.7704,4269655.125,13.8,624961.0727,4269659.756,13.4,0,2,1,2.28111604587987e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,624961.0727,4269659.756,13.4,624973.2042,4269664.164,13.1,0,2,1,1.54909863635542e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,624973.2042,4269664.164,13.1,624985.2502,4269668.459,12.7,0,2,1,1.56309724602484e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,624985.2502,4269668.459,12.7,624997.0332,4269672.861,12.5,0,2,1,7.94916596758455e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,624997.0332,4269672.861,12.5,625008.5548,4269677.258,12.3,0,2,1,1.62153360039527e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,625008.5548,4269677.258,12.3,625019.815,4269681.652,12.2,0,2,1,1.65460482636943e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,625019.815,4269681.652,12.2,625030.8992,4269686.154,12.2,0,2,1,8.35868567277543e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,625030.8992,4269686.154,12.2,625041.2898,4269690.423,12.3,0,2,1,8.90156716549634e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,625041.2898,4269690.423,12.3,625051.2466,4269694.575,12.4,0,2,1,9.26951769716853e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,625051.2466,4269694.575,12.4,625059.9906,4269698.263,12.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,625059.9906,4269698.263,12.4,625068.2188,4269701.5,12.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,625068.2188,4269701.5,12.3,625075.1539,4269703.828,12.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,625075.1539,4269703.828,12.1,625081.4879,4269705.592,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,625081.4879,4269705.592,12,625085.8319,4269706.437,11.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,625085.8319,4269706.437,11.5,625089.2228,4269706.934,10.8,0,2,1,2.85889714504459e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,625089.2228,4269706.934,10.8,625091.1395,4269706.964,10.4,0,2,1,5.10664635216193e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,625091.1395,4269706.964,10.4,625092.3627,4269706.761,10,0,2,1,7.67560956311963e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,625092.3627,4269706.761,10,625093.4099,4269706.666,9.8,0,2,1,9.34290199596741e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,625093.4099,4269706.666,9.8,625094.3683,4269706.681,9.6,0,2,1,1.02132921671205e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,625094.3683,4269706.681,9.6,625095.7571,4269707.036,9.5,0,2,1,6.9597549386769e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,625095.7571,4269707.036,9.5,625097.4055,4269707.506,9.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,625097.4055,4269707.506,9.4,625099.655,4269708.54,9.5,0,2,1,4.03563471262562e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,625099.655,4269708.54,9.5,625102.3385,4269709.692,9.6,0,2,1,1.36893627337682e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,625102.3385,4269709.692,9.6,625104.989,4269712.952,9.7,0,2,1,7.13775837013875e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,625104.989,4269712.952,9.7,625107.7093,4269717.324,9.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,625107.7093,4269717.324,9.8,625108.851,4269722.336,10.1,0,2,1,5.82540500970559e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,625108.851,4269722.336,10.1,625109.2034,4269727.67,10.3,0,2,1,3.73917841803352e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,625109.2034,4269727.67,10.3,625108.486,4269734.541,10.7,0,2,1,1.44517590388165e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,625108.486,4269734.541,10.7,625107.2355,4269742.069,11.1,0,2,1,1.17771181150463e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,625107.2355,4269742.069,11.1,625105.356,4269750.808,11.3,0,2,1,4.47352272839313e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,625105.356,4269750.808,11.3,625103.1176,4269760.208,11.3,0,2,1,2.06982283086335e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,625103.1176,4269760.208,11.3,625100.7817,4269770.272,11.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,625100.7817,4269770.272,11.3,625098.4389,4269780.781,11.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,625098.4389,4269780.781,11.3,625095.908,4269792.174,11.2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,625095.908,4269792.174,11.2,625093.2813,4269804.121,11.1,0,2,1,4.90497439416977e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,625093.2813,4269804.121,11.1,625090.5623,4269816.399,11.1,0,2,1,1.59036538835641e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,625090.5623,4269816.399,11.1,625087.6672,4269828.785,11.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,625087.6672,4269828.785,11.3,625084.8507,4269841.728,11.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,625084.8507,4269841.728,11.4,625082.1196,4269854.783,11.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,625082.1196,4269854.783,11.3,625079.2961,4269868.17,11.4,0,2,1,2.19274250791816e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,625079.2961,4269868.17,11.4,625076.4692,4269881.778,11.6,0,2,1,2.15819361663261e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,625076.4692,4269881.778,11.6,625075.5251,4269886.425,11.7,0,2,1,2.1083129413089e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,625075.5251,4269886.425,11.7,625071.8361,4269905.015,11.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,625071.8361,4269905.015,11.8,625068.1471,4269923.605,12.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,625068.1471,4269923.605,12.1,625065.4927,4269937.328,12.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,625065.4927,4269937.328,12.4,625062.7477,4269951.27,12.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,625062.7477,4269951.27,12.6,625059.9139,4269965.323,12.7,0,2,1,6.97560296117973e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,625059.9139,4269965.323,12.7,625056.9111,4269979.04,12.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,625056.9111,4269979.04,12.7,625053.7392,4269992.421,12.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,625053.7392,4269992.421,12.7,625050.7398,4270005.916,12.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,625050.7398,4270005.916,12.8,625047.8293,4270019.301,12.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,625047.8293,4270019.301,12.9,625044.9206,4270032.575,12.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,625044.9206,4270032.575,12.6,625042.1024,4270045.629,12.2,0,2,1,2.24543438520977e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,625042.1024,4270045.629,12.2,625039.3749,4270058.462,12,0,2,1,1.52423732061089e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,625039.3749,4270058.462,12,625036.7396,4270070.964,11.9,0,2,1,1.56534936631777e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,625036.7396,4270070.964,11.9,625034.1062,4270083.354,11.7,0,2,1,1.57866118622859e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,625034.1062,4270083.354,11.7,625031.4761,4270095.523,11.5,0,2,1,8.03132200160488e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,625031.4761,4270095.523,11.5,625029.104,4270107.918,11.3,0,2,1,7.9231558531289e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,625029.104,4270107.918,11.3,625026.819,4270120.314,11.2,0,2,1,7.93317219500415e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,625026.819,4270120.314,11.2,625024.3598,4270132.707,11,0,2,1,7.91354533390497e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,625024.3598,4270132.707,11,625021.8152,4270144.988,10.9,0,2,1,7.97304663745927e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
